preview,time,title
"프로야구 SK 와이번스는 21세기 KBO리그의 강팀이다. SK는 ‘인천 야구’를 상징하는 이름으로 자리 잡았다. 그렇게 SK 와이번스의 시대가 저물고, 새로운 팀의 시대가 열린다.",2021.01.27 00:02,[배영은의 야野·생生·화話] 그래도 ‘인천 야구’ 전통은 살아 남았다
"SK 야구단 모기업인 SK텔레콤 관계자는 25일 ""신세계 측과 야구단 양도와 관련한 협의를 진행하고 있다""고 밝혔다. 신세계그룹이 SK 와이번스를 인수하면, KBO리그 40년 역사에서 기업 간 야구단을 양수·양도한 역대 여섯 번째 사례가 된다. 이번 SK 와이번스 인수 역시 야구를 좋아하는 정용진 신세계그룹 부회장이 진두",2021.01.25 19:05,"신세계그룹, 올 시즌 KBO리그 참여에 문제 없다"
"삼미 슈퍼스타즈, 청보 핀토스, 태평양 돌핀스, 현대 유니콘스, SK 와이번스, 그리고 신세계. 신세계 그룹은 25일 ""SK텔레콤과 프로야구를 비롯해 한국 스포츠 발전 방향에 대해 협의를 진행하고 있다""고 밝혔다. 프로야구단 SK 와이번스의 신세계 그룹 인수가 사실상 확정적이다.",2021.01.25 18:10,파란만장 인천 프로야구사… 신세계는 여섯 번째 주인
"타이틀리스트가 2021년형 Pro V1과 Pro V1x를 공개했다. 타이틀리스트는 ""부드러운 코어가 단단한 케이싱 레이어를 만나 빠른 스피드를 만들고 롱게임 스핀양을 낮춰주어 결과적으로 더욱 긴 비거리를 제공한다""고 주장했다. Pro V1은 기존 352개에서 388개로, Pro V1x는 328개에서 348개 늘었다.",2021.01.25 17:39,"[더 골프숍] 타이틀리스트 Pro V1, 이름 빼고 다 바꿨다"
쿼터백 톰 브래디(44·탬파베이 버커니어스)와 패트릭 머홈스(26·캔자스시티 치프스)다. 2018시즌 정규리그 최우수선수(MVP)을 차지한 머홈스는 지난 시즌에는 슈퍼보울 우승을 거머쥐며 MVP와 슈퍼보울 우승을 모두 달성한 역대 최연소 선수가 됐다. 또 24세 138일의 나이로 슈퍼보울 MVP에 올라 NFL 역대 최연소 쿼터백,2021.01.25 17:37,전설 브래디 vs 수퍼스타 머홈스...수퍼보울 맞대결
"정동섭 딜로이트 그룹장은 ""한국 프로구단은 외국보다 재정 자립도가 낮고 모기업 지원에 의존하는 구조다. 구단의 재무적 가치는 매우 낮거나 측정할 수 없을 정도다. 그간 구단 매각은 수의계약을 통해 알음알음 이뤄졌다. 정보가 없는 기업은 참여가 불가능한 구조였다. 정보를 투명하게 공개해 접근성을 높여 최적의 매",2021.01.25 16:37,"매물로 나온지 일주일, 프로농구 전자랜드 운명은"
"김시우(26)가 미국 프로골프(PGA) 투어 아메리칸 익스프레스에서 3년8개월 만에 통산 3승을 거두고서 ""매우 행복하다""는 말로 기쁨을 표현했다. 김시우는 25일(한국시각) 끝난 PGA 투어 아메리칸 익스프레스 최종 라운드에서 보기 없이 버디 8개로 합계 23언더파를 기록해 패트릭 캔틀레이(미국·22언더파)를 1타 차로 제치",2021.01.25 11:38,"""전날 밤 제대로 못 잤지만..."" 우승 압박 털어낸 김시우의 포효"
탬파베이는 25일(한국시각) 미국 위스콘신 그린베이 램보필드에서 열린 내셔널콘퍼런스 결승에서 그린베이 패커스를 31-26으로 이기고 수퍼보울(챔피언결정전)에 진출했다. 탬파베이가 수퍼볼에 진출한 건 2003년 이후 18년 만이다. NFL 역사상 개최 팀이 수퍼보울에 진출한 건 탬파베이가 처음이다.,2021.01.25 11:05,전설 브래디 약팀 이끌고 수퍼보울 기적 던졌다
"김시우(26)는 2020년 1월 19일 미국 캘리포니아주 라킨타의 PGA 웨스트에서 벌어진 PGA 투어 아메리칸 익스프레스 1라운드에서 87타를 치고 기권했다. 그러나 16번 홀에서 버디를 잡아 공동선두에 복귀했고 17번 홀에서 버디로 단독 선두가 됐다. 한 타 차 2위였던 김시우는 16, 17번 홀에서 2타를 줄여 단독 선두로 나섰다",2021.01.25 09:15,지난해 87타 치고 기권한 아멕스 대회서 김시우 64타 치고 우승
"동생 넬리 코다(미국), 대니엘 강과 동반 라운드를 치른 코다는 최종 라운드에서 6타를 줄였다. 코다에 2타 앞선 선두로 최종 라운드를 출발한 대니엘 강은 15번 홀(파4) 보기로 추격의 빌미를 제공했다가 17번 홀(파5)에서 2온 2퍼트로 버디를 성공시켜 코다와 동률을 이뤘다. 제시카 코다, 대니엘 강이 합계 24언더파로",2021.01.25 07:41,"'부활샷' 전인지, LPGA 개막전 4위...제시카 코다, 연장 끝에 통산 6승"
"허바드의 이번 퍼트는 지금까지 그 어느 퍼트 자세보다 괴상했다. 해설가 트레버이멜먼은 ""(지금까지 특이했던 다른 퍼트 자세보다) 한 차원 높은 완벽한 교과서적인 기술""이라고 농담했다. 퍼트 자세 자체도 이상했지만, 오른팔을 크게 벌린 후 클럽을 잡는 동작은 마치 일종의 주술 의식처럼 보였다.",2021.01.25 00:03,새끼 손가락 걸고 퍼트 하는 거 맞죠
"종합격투기 최고스타 UFC 전 페더급·라이트급 챔피언 코너 맥그리거(33·아일랜드)가 1년 만의 복귀전에서 완패했다. 맥그리거(UFC 4위)는 24일(한국시각) 아랍에미리트(UAE) 아부다비 야스 아일랜드에서 열린 257 대회 라이트급(70㎏급) 메인 이벤트(5라운드)에서 더스틴 포이리에(32·미국, 2위)에 2라운드 2분 32초 만",2021.01.25 00:03,"맥그리거 이대로 끝나나, 복귀전 TKO패 굴욕"
"김상식 대표팀 감독은 ""경기력향상위원회(경향위)와 논의해 10개 팀에서 한 명씩 뽑기로 했다. (각 팀 에이스만 뽑을 경우) 가드와 센터만 6명씩이다. 포워드와 슈터가 필요했다. 전준범과 안영준은 몸 상태를 확인했다. 투명하고 공정하게 뽑으려고 했다""고 설명했다. 추일승 경향위원장은 ""대학생과 젊은 선수로 구성할",2021.01.25 00:03,“니가 가라 필리핀”…한국 농구 지금 무슨 일이
"유벤투스는 21일(한국시각) 이탈리아 레조 에밀리아의 마페이 스타디움에서 열린 이탈리아 수퍼컵(수페르코파 이탈리아나) 나폴리와 결승전에서 2-0으로 이겼다. 이탈리아 수퍼컵은 전 시즌 세리에A 챔피언과 코파 이탈리아(이탈리아 컵) 우승팀이 맞붙는다. 유벤투스는 2019~20시즌 우승 팀, 나폴리는 코파 이탈리아 우승",2021.01.21 13:39,유벤투스 이탈리아 수퍼컵 우승...호날두 결승골
"""K리그 우승으로 만족해선 안 됩니다. 선두주자가 되어야 합니다. 전북 현대가 먼저 시도하면, 다른 클럽이 따라가는 구조를 만들어야 합니다. 제가 가진 경험과 노하우를 최대한 공유해 전북과 K리그 발전을 돕겠습니다"". 박 어드바이저는 21일 경기도 고양시 현대자동차 모터스튜디오에서 열린 취임 기자회견에서 ""현역에",2021.01.21 13:07,전북현대 ‘탈 K리그’ 이끌 박지성의 눈은 유소년을 향한다
"키움 히어로즈가 홍원기 수석코치(48)를 신임 감독으로 선임했다. 홍원기 감독은 ""기회를 주신 구단에 감사드리며, 한편으로는 무거운 책임감을 느낀다. 좋은 선수와 코치, 시스템을 갖춘 만큼 더욱 적극적으로 소통해 팀이 한 단계 성장할 수 있도록 최선을 다 하겠다""고 소감을 밝혔다. 허 대표는 가장 먼저 감독 선임 작",2021.01.21 10:41,"키움 히어로즈, 홍원기 감독 선임"
"이어 ""사실 성민이가 많이 안쓰러워 보인다. 아직은 몸이 아픈 것 같다. (하지만 힘들다고)말하지 않고, 끝까지 버텼다. 현대캐피탈의 기둥인 것 같다""고 했다. 최 감독은 교체 이유에 대해 ""젊은 선수들 컨디션이 많이 안 좋아서 힘들어했다. 리베로 리시브는 여오현 코치가 전담하게 했다""며 ""상황마다 선수를 교체했다.",2021.01.21 08:30,최태웅 감독 웃게 만든 문성민-여오현-송준호
"양현종 측은 20일 조계현 KIA 단장에게 ""MLB 진출 꿈을 접기에는 아직 아쉬움이 남는다. 열흘만 더 미국 구단 이야기를 들어본 뒤, 30일까지 거취를 결정하겠다""는 뜻을 전했다. 조 단장은 ""MLB 마운드에 꼭 서겠다는 양현종의 의지가 무척 강하다. 나 역시 투수 출신으로서 선수의 꿈을 이해한다. 우리 팀 에이스의 의사를",2021.01.21 00:03,양현종 “열흘만 더”…KIA “에이스 뜻 존중”
소렌스탐은 21일 밤(한국시각) 미국 올랜도의 포시즌스 골프클럽에서 개막하는 LPGA 투어 다이아몬드 리조트 토너먼트 오브 챔피언스의 ‘초청 명사 부문’에 출전한다. 이 대회는 2018~20년 LPGA 투어 대회 우승 선수와 스포츠 및 연예·문화계 명사가 함께 어울려 경기하는 대회다. LPGA 투어 통산 상금 1위(2257만 달러),2021.01.21 00:03,LPGA 개막전에 ‘골프 여제’가 돌아온다
"그의 바디 프로필 촬영이 의외다. 최나연은 ""헬스클럽에서 운동하는데 ‘근육이 아주 잘 나오니 한번 찍어보자’는 꼬임에 넘어가 찍기로 했다. 촬영 당일 아침이 되자 민망해서 못할 것 같았다. 트레이너 언니가 함께 해줘 그나마 찍었지 혼자였다면 절대 못 찍었을 거다. 그런데 시간이 흐르면서 적응이 돼 촬영을 내가",2021.01.21 00:03,치마도 꺼리던 최나연 건강한 변신
"외국인 선수라고 해도, 비예나가 없는 동안 팀을 이끈 정지석, 곽승석(33·이상 레프트), 임동혁(22·라이트) 등과 포지션 경쟁을 해야 한다. 정지석은 ""노우모리 케이타(KB손해보험)가 즐기는 스타일이라면, 요스바니는 진지한 스타일이다. 파워가 있기 때문에 솔직히 온다는 말을 들었을 때 ‘경쟁하겠네’라고 생각했다""",2021.01.21 00:03,"외국인 없이 1위 대한항공, 비결은 정지석"
"도쿄올림픽 7월 개최와 관련해, ‘개최 강행’과 ‘대회 취소’라는 기존 선택지 외에 ‘순차 연기’라는 새 카드가 등장했다. 17일 고노 다로 일본행정개혁담당상은 ""IOC가 (올림픽 개최 여부를) 결정하면, 일본 정부도 개최든 취소든 논의할 수 있다""고 말했다. 이에 따르면 2024년 개최지(파리)와 2028년 개최지(LA)는",2021.01.21 00:03,강행·취소 아닌 올림픽 ‘순차 연기’ 새 변수
"지난 시즌 제주에서 뛴 정조국은 지난달 9일 현역에서 은퇴했다. 정조국은 ""선수단과 감독의 가교 구실이 또 다른 임무다. 선수들과 차 마시고 밥 먹으며 꾸준히 소통한다. 선수들도 형 같아서인지 편하게 생각한다""고 말했다. 정조국은 ""제주가 32년 만에 우승에 도전한다. 감독님도 우승이 목표라고 했다. 기여하고 싶다.",2021.01.21 00:03,제주 코치 변신 정조국 “32년 만의 우승 돕겠다”
"현대캐피탈은 20일 서울 장충체육관에서 열린 도드람 2020~2021 V리그 남자부 4라운드 경기에서 세트 스코어 3-2(21-25, 17-26, 25-19, 25-18, 18-16) 역전승을 거뒀다. 최태웅 현대캐피탈 감독은 ""초반에 어린 선수들이 많이 힘들어했다. 집중력이 떨어졌다. 다행히 고참들이 들어가서 분위기를 살려서 역전했다. 세대교체",2021.01.20 21:24,문성민 복귀전 치른 현대캐피탈 3연승 질주
"한국남자농구가 코로나19 여파로 2021 아시아컵 예선에 불참했는데, 국제농구연맹(FIBA)으로부터 벌금 2억원 징계를 받았다. FIBA는 19일 ""지난해 11월 열린 FIBA 아시아컵 2021 예선에 불참한 한국, 중국, 대만의 농구협회에 각각 16만스위스프랑(약 2억원)의 제재금과 대회 승점2 삭감의 징계를 내렸다""고 발표했다. 대한",2021.01.20 18:02,"한국농구 코로나 탓에 불참했는데, 벌금 2억 부과한 국제농구연맹"
한국프로골프(KPGA) 코리안투어에서 활동하는 톱 랭커 골퍼들이 스크린골프에서 대결을 펼친다. 골프존은 21~23일에 서울 강남구 청담동에 위치한 골프존 미디어 스튜디오에서 2021 까스텔바작 G투어 투어프로 인비테이셔널 대회를 연다고 20일 밝혔다. 우승 상금 1500만원을 포함해 총상금 4000만원이 걸린 이 대회엔 지난,2021.01.20 17:49,'대상' 김태훈·'2승' 김한별 도전...스크린골프 대결하는 프로골퍼 8명
여자 골프 세계 1위 고진영(26)이 대한항공의 엑셀런스 프로그램 후원을 받는다. 고진영은 지난 19일 서울 강서구 대한항공 본사에서 대한항공 엑셀런스 프로그램 후원 협약식에 참석했다. 2018년 미국 여자프로골프(LPGA) 투어 진출 이후 통산 7승과 세계 1위를 달성한 고진영은 국위선양에 이바지해 이 프로그램 후원 혜,2021.01.20 16:59,날개 단 '세계 1위' 고진영...대한항공과 '특별 후원' 협약
"미국프로풋볼(NFL) 사상 첫 여성 전임 심판인 세라 토머스(48)가 수퍼보울 심판진에 포함됐다. 토머스는 2015년에는 NFL 최초의 여성 전임 심판으로 채용됐다. NFL 풋볼 운영 부문 부사장인 트로이 빈센트 시니어는 ""세라 토머스가 슈퍼볼 첫 여성 심판으로 또 한 번 역사를 만들었다. 토머스에게 축하의 인사와 함께 충분",2021.01.20 16:22,수퍼보울 첫 여성 심판 뜬다...세라 토머스
손흥민(29·토트넘)이 2020년 아시아축구연맹(AFC) 국제선수상을 수상했다. AFC는 24일(한국시각) 홈페이지를 통해 '아시아의 선택-2020 최우수 국제선수' 투표 결과를 발표했다. 국제선수상은 AFC에 속하지 않은 프로팀 소속으로 가장 뛰어난 활약을 펼친 아시아 남자 선수에게 주는 상이다.,2021.01.24 21:53,손흥민 AFC 국제선수상 수상
"프랑스 프로축구 보르도 공격수 황의조(29)가 유럽 무대 첫 멀티골을 터뜨렸다. 전반 8분 문전 혼전 상황에서 공이 상대 수비 맞고 흐르자, 황의조가 골문에서 왼발슛 선제골을 넣었다. 황의조는 유럽 첫 시즌인 2019~20시즌 기록한 자신의 유럽 한 시즌 최다골 한 발 다가섰다.",2021.01.24 21:44,황의조 유럽 무대 첫 멀티골 폭발
"박 대표는 ""코칭스태프가 다른 방향으로 나아가면 선수들이 혼란을 느낀다. 코치진도 합의 과정을 일원화하는 것이 효율적이다. 또 수베로 감독과 최원호 2군 감독이 수시로 의견을 주고받으면서 팀을 하나로 연결하고 서로 시너지를 내게 될 거다. 수베로 감독도 동의한 부분""이라고 말했다. 박 대표는 ""우리 팀의 취약점",2021.01.24 19:52,"박찬혁 한화 대표, ""선수·프런트 동반성장 필요…새로움 원했다"""
"USGA는 ""곡선처리로 그루브의 폭이 넓어졌기 때문에 그루브 간격 규정을 위반했다""며 불법 클럽으로 규정했다. 그래서 그루브 규정 한계까지 가지 않고 그루브 간격을 규정보다 넓게 배치하고 홈을 얕게 파 문제의 소지를 없앴다. 골프 클럽 제작 기술이 그 정도로 정교하게 발전했으며, 그 차이가 시장 판도를 바꿀 정도로",2021.01.24 18:13,[더 골프숍]골프의 그루브 전쟁과 클리블랜드 RTX 집코어
"백인들의 영웅인 베이브 루스의 MLB 역대 최다 홈런(714개) 기록에 단 한 개 차로 접근했다는 의미였다. 역대 최초로 3000안타(3771개) 고지를 밟았고, MLB 통산 타점 1위에 올라 있다. 일본 프로야구 최다 홈런(868개) 기록 보유자인 오 사다하루 소프트뱅크 호크스 회장도 애런의 사망 소식에 성명을 발표했다.",2021.01.24 17:52,"""그의 공이 담장 넘을수록 흑인 장벽 무너졌다"" 행크 애런 별세"
남자프로농구 서울 SK가 닉 미네라스의 위닝샷을 앞세워 전주 KCC의 13연승을 저지했다. SK는 24일 전주실내체육관에서 열린 2020∼21시즌 정규리그 경기에서 KCC를 82-80으로 꺾었다. 하지만 KCC가 정창영의 2득점에 이어 종료 8초 전 이정현의 2득점으로 80-80 동점을 만들었다.,2021.01.24 17:14,"'미네라스 위닝샷' 프로농구 SK, KCC 13연승 저지"
종합격투기 최고 스타인 UFC 전 페더·라이트급 챔피언 코너 맥그리거(33·아일랜드)가 1년 만의 복귀전에서 완패했다. 맥그리거(UFC 4위)는 24일(한국시각) 아랍에미리트(UAE) 아부다비의 야스 아일랜드에서 열린 257 대회 라이트급(70㎏급) 메인이벤트(5라운드)에서 더스틴 포이리(2위)에(32·미국)에 2라운드 2분 32초,2021.01.24 16:28,맥그리거 시대 끝나나...1년 만의 복귀전서 충격패
"미국 캘리포니아 주 라퀸타의 PGA 웨스트 골프장에서 23일(한국시간) 벌어진 미국프로골프(PGA) 투어 아메리칸 인스프레스 2라운드 9번 홀에서 마크 허바드(미국)는 1.2m 파 퍼트를 남겨뒀다. 해설가인 트레버이멜먼은 ""(이전의 특이한 퍼트 자세보다) 한 차원 높은, 완벽한 교과서적인 기술""이라고 농담을 했다. 퍼트 자세",2021.01.24 15:17,세상에서 가장 괴상한 퍼트 자세
"독일프로축구 분데스리가 프라이부르크 공격수 정우영(22)이 시즌 2호골을 터트렸다. 정우영은 24일(한국시각) 슈바르츠발트 슈타디온에서 열린 2020~21시즌 분데스리가 슈투트가르트와 홈경기에서 전반 37분 역전 결승골을 터트리며 2-1 승리를 이끌었다. 1-1로 맞선 전반 37분, 상대를 압박해 볼을 따내 문전쇄도한 뒤 강",2021.01.24 09:39,"독일 분데스리가 프라이부르크 정우영, 시즌 2호골"
"김시우가 24일 미국 캘리포니아주 라킨타의 PGA 웨스트 라킨타 컨트리클럽 니클라우스 토너먼트 코스에서 벌어진 PGA 투어 아메리칸 익스프레스 3라운드에서 공동 선두에 올랐다. 선두 임성재에 한 타 차 2위로 출발한 김시우는 이날 5언더파 67타를 쳐 중간합계 15언더파로 토니 피나우, 맥스 호마와 공동 선두다. 한편 전",2021.01.24 09:13,"김시우 PGA 아멕스 공동 선두, 전인지 LPGA 다이아몬드 4위"
여자프로농구 청주 KB가 30득점-24리바운드를 기록한 박지수를 앞세워 단독 선두를 지켰다. 직전 경기였던 2위(16승 6패) 아산 우리은행과 맞대결에서 역전패해 반 게임 차로 쫓긴 KB(17승 5패)는 이날 승리로 다시 격차를 한 경기로 벌렸다. 박지수가 30득점-24리바운드를 기록하며 팀을 승리로 이끌었다.,2021.01.23 23:26,"박지수 30점-24리바운드…KB, 하나원큐 꺾고 단독 선두 유지"
"KB손해보험은 23일 천안 유관순체육관에서 열린 도드람 2020-21 V리그 홈경기에서 현대캐피탈에 세트 스코어 3-2(25-20, 31-33, 21-25, 25-22, 15-13)로 이겼다. 이날 승리로 시즌 최다 4연패에서 벗어난 3위 KB손해보험(승점 42·14승 10패)은 4위 우리카드(승점 39·13승 10패)와의 격차를 조금 벌렸다. 김천에서 열린 여",2021.01.23 19:14,"'케이타 28점' KB손해보험, 현대캐피탈 꺾고 4연패 탈출"
"우승 상금 120만 달러(약 13억2000만원)를 받은 김시우의 PGA 투어 통산 상금은 1300만9789달러다. PGA 투어 통산 82승의 타이거 우즈(미국)의 통산 상금은 1억2085만1706달러다. 미국 무대에서 누적 상금으로 1000만 달러 이상 번 한국 여자 선수는 5명으로, 박인비 외에도 통산 25승의 박세리(44·1258만3713달러), 유소",2021.01.27 00:02,한국 골퍼 통산 상금 3위 김시우
"여준석은 ""전혀 예상 못 했다""고 말했지만, 농구계는 ""뽑힐 만 했다""고 반응했다. 여준석은 ""현중이 형이 ‘너 또 얼었지’ 물어보길래 ‘약간 겁난다’고 했다. (2018년) 아시아 18세 이하(U-18) 챔피언십 8강에서 탈락했다. 그때 자극받아 호주에 갔다. 현중이 형이랑 대표팀에서 함께 뛰는 날이 어서 왔으면 좋겠다""고",2021.01.27 00:02,점프력 3m30㎝…고교생 농구 국대 여준석
"영국 BBC는 26일 EPL 전반기를 결산하며 토트넘 선수 중 손흥민에게 가장 높은 평점을 줬다. 2020~21시즌 정규리그 18경기에 모두 출전한 손흥민은 평균 평점 6.48점을 기록, 팀 동료 해리 케인(28·6.36점)과 지오바니 로셀소(25·5.88점)를 제치고 팀 내 1위에 올랐다. BBC는 ""손흥민이 공격 파트너 케인을 제치고 토트넘",2021.01.27 00:02,"벌써 시즌 10도움, 근사하고 꾸준한 손흥민"
"이 회장은 강원 고성군 온정리 금강산 관광단지 안에 있는 금강산 골프장을 소유한 아난티 그룹 회장이다. 이 회장은 ""2025년 대회 유치를 원하지만, 만약 내년 프랑스에서 코로나19 때문에 대회를 반납한다면 이를 받아 개최하는 방안도 검토하겠다""고 말했다. 이 회장은 ""금강산 골프장 때문에 북한 사정은 대충 알고 있",2021.01.27 00:02,“북한 금강산 골프장서 세계선수권 열겠다”
"GS칼텍스 강소휘(24)가 발목 부상으로 2~3주 휴식해야 한다. V리그 여자부 GS칼텍스는 23일 ""강소휘가 병원 검진 결과 우측 발목 가벼운 염좌 진단을 받았다""라며 ""재활에 2~3주 소요될 예상""이라고 전했다. 주전 센터 한수지가 발목 수술을 받아 시즌 아웃됐고, 센터와 레프트를 오가는 권민지는 왼쪽 새끼손가락 골절상으",2021.01.23 16:50,"GS칼텍스 강소휘 발목 염좌 진단, 2~3주 재활"
"LG에서 세 번째 시즌을 맞는 케이시 켈리(32)가 23일 인천국제공항을 통해 입국했다. 켈리는 앤드류 수아레즈와 새롭게 LG 외국인 투수 듀오를 형성한다. 켈리는 ""다시 한국으로 돌아와 기쁘다. 항상 응원해주시는 팬들께 진심으로 감사드리고 그 응원에 보답하기 위해 열심히 노력하겠다""라며 ""팬 여러분의 응원이 2021년",2021.01.23 14:25,"LG에서 세 번째 시즌 켈리 입국, 격리 해제 후 캠프 합류"
"박지성(40) 전북 구단총괄보좌역(이하 어드바이저)이 전지훈련지를 방문, 선수단과 반갑게 인사했다. 전북 구단은 박 어드바이저가 1군 선수단의 전지 훈련장에 방문한 영상과 사진을 23일 공개했다. 선수단과 상견례를 가진 박 어드바이저는 ""혹시 문제가 있거나 고뇌하는 것들, 상담할 것들이 있다면 언제든 연락 달라""면",2021.01.23 12:48,"박지성 전북 전지훈련 방문…""언제든 연락 달라"""
"1년간의 일본 연수를 마치고 LG로 다시 돌아온 이종범 코치가 새롭게 1군 작전 코치를 맡는다. 투수 파트는 경헌호, 김광삼 2군 코치가 1군으로 이동했다. 류지현 감독이 11월 19일 취임식에서 밝혔듯 김동수 2군 코치가 수석 코치를 역임하고, 1군 타격은 이병규, 임훈 코치가 지난해와 마찬가지로 지도한다.",2021.01.23 11:06,"1군 작전 이종범, 투수 경헌호·김광삼 코치, LG 2021 코치진 확정"
"미국프로야구 메이저리그의 전설적인 홈런왕 행크 애런이 향년 86세로 별세했다. 애런은 1974년 베이브 루스(714홈런)를 넘어 메이저리그 개인 통산 최다 홈런 1위로 올라섰다. 배리 본즈는 ""애런은 매우 존경할만한 분이었다. 그는 상징이자 전설, 진정한 영웅이었다""라며 ""당신이 우리에게 가르쳐 준 모든 것을 잊지 않겠",2021.01.23 10:27,"전설이 떠났다…'진정한 홈런왕' 행크 애런, 향년 86세 별세"
"스페인 프로축구 레알 마드리드의 지네딘 지단(49) 감독이 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다. 레알 마드리드는 홈페이지를 통해 ""지단 감독이 코로나19 검사에서 양성 반응을 보였다""고 밝혔다. 레알 마드리드는 앞서 에덴 아자르 등 선수들이 코로나19 확진 판정을 받은 바 있다.",2021.01.23 08:59,"레알 마드리드 지단 감독, 코로나19 확진 판정"
